ipa,id,description,ph.anterior,ph.approximant,ph.atr,ph.back,ph.click,ph.consonantal,ph.constr,ph.continuant,ph.coronal,ph.delrel,ph.distributed,ph.dorsal,ph.ejective,ph.fortis,ph.front,ph.high,ph.implosive,ph.labial,ph.labiodental,ph.lateral,ph.long,ph.low,ph.nasal,ph.periodic,ph.pharyngeal,ph.round,ph.rtr,ph.short,ph.sonorant,ph.spread,ph.stress,ph.strident,ph.syllabic,ph.tap,ph.tense,ph.tone,ph.trill,fk.cm,fk.cp,fk.cs,fk.gc,fk.init,fk.phon,fk.pri,fk.pros,fk.sec,fk.tone,fk.vh,fk.vm,fk.vv,notes
dz,192,(voiced) (alveolar) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,affr,alvr,cmpx,cons,plme,void,,,,,,,,
ɽ,289,(voiced) (retroflex) (pulmonic-egressive) (flap) (simplex) (consonant),-,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,rtfx,smpx,cons,plme,void,,,,,,,,
ɕʼ,1607,(voiceless) (alveolopalatal) (glottal-egressive) (fricative) (post-glottalized) (consonant),+,-,0,-,-,+,+,+,+,+,+,+,+,-,+,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,avpl,tglz,cons,glte,voil,,,,,,,,
dʼkxʼ,2574,(voiced) (alveolar) (glottal-egressive) (affricate) (post-glottalized) (consonant),0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,affr,alvr,tglz,cons,glte,void,,,,,,,,
n̪̰,1557,(creaky) (dental) (pulmonic-egressive) (nasal) (simplex) (consonant),+,-,0,0,-,+,+,-,+,0,+,-,-,-,0,0,-,-,0,-,-,0,+,+,-,0,0,-,+,-,-,-,-,-,0,0,-,nasl,dntl,smpx,cons,plme,crky,,,,,,,,
zˤ,964,(voiced) (pharyngealized) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,-,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,+,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,,,phrz,,,,,
ɘ̃,1514,(voiced) (nasal-vowel) (closemid) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,cntr,vnsl,cmid,
ʃˀ,2796,(voiceless) (postalveolar) (glottal-egressive) (fricative) (post-glottalized) (consonant),-,-,0,0,-,+,+,+,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,palv,tglz,cons,glte,voil,,,,,,,,
zˠ,1271,(voiced) (velarized) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,+,-,+,-,+,+,+,-,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,,,vlrz,,,,,
ˀɖ,325,(voiced) (retroflex) (pulmonic-egressive) (stop) (pre-glottalized) (consonant),-,-,0,0,-,+,+,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,rtfx,pglz,cons,plme,void,,,,,,,,
ˀɗ,1961,(voiced) (alveolar) (glottal-ingressive) (stop) (pre-glottalized) (consonant),+,-,0,0,-,+,+,-,+,-,-,-,-,-,0,0,+,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,alvr,pglz,cons,glti,void,,,,,,,,
ˀɡʷ,2740,(voiced) (labialized) (velar) (pulmonic-egressive) (stop) (pre-glottalized) (consonant),0,-,0,-,-,+,+,-,-,-,0,+,-,-,-,+,-,+,0,-,-,-,-,+,-,+,0,-,-,-,-,0,-,-,0,0,-,stop,velr,pglz,cons,plme,void,,,lblz,,,,,
ʃː,673,(long) (voiceless) (postalveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),-,-,0,0,-,+,-,+,+,+,+,-,-,-,0,0,-,-,0,-,+,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,palv,smpx,cons,plme,voil,,long,,,,,,
ˀɟ,1962,(voiced) (palatal) (pulmonic-egressive) (stop) (pre-glottalized) (consonant),-,-,0,-,-,+,+,-,+,-,+,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,palt,pglz,cons,plme,void,,,,,,,,
ld,2207,(voiced) (lateral-release) (dental) (pulmonic-egressive) (stop) (complex) (consonant),+,+|-,0,0,-,+,-,+|-,+,-,-,-,-,-,0,0,-,-,0,+|-,-,0,-,+,-,0,0,-,+|-,-,-,-,-,-,0,0,-,stop,dntl,cmpx,cons,plme,void,,,latr,,,,,
ˀɡ,328,(voiced) (velar) (pulmonic-egressive) (stop) (pre-glottalized) (consonant),0,-,0,-,-,+,+,-,-,-,0,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,0,-,-,0,0,-,stop,velr,pglz,cons,plme,void,,,,,,,,
ɪˠ,1851,(voiced) (velarized) (nearclose) (nearfront) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,vlrz,,nfrt,,ncls,
ʃˠ,1163,(voiceless) (velarized) (postalveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),-,-,0,+,-,+,-,+,+,+,+,+,-,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,palv,smpx,cons,plme,voil,,,vlrz,,,,,
zˀ,2799,(voiced) (alveolar) (glottal-egressive) (fricative) (post-glottalized) (consonant),+,-,0,0,-,+,+,+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,tglz,cons,glte,void,,,,,,,,
ˀɲ,366,(voiced) (velar) (pulmonic-egressive) (nasal) (pre-glottalized) (consonant),-,-,0,-,-,+,+,-,+,0,+,+,-,-,+,+,-,-,0,-,-,-,+,+,-,0,0,-,+,-,-,-,-,-,0,0,-,nasl,velr,pglz,cons,plme,void,,,,,,,,
ũˤ,2173,(voiced) (pharyngealized) (round) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,+,-,-,-,-,+,+,-,+,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,phrz,,back,roun,,
n̪t̪ʰ,1528,(voiceless) (dental) (pulmonic-egressive) (stop) (post-aspirated) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,+|-,+|-,-,0,0,-,+|-,+,-,-,-,-,0,0,-,stop,dntl,tasp,cons,plme,voil,,,,,,,,
lʼː,2568,(long) (voiced) (alveolar) (glottal-egressive) (approximant) (post-glottalized) (consonant),+,+,0,0,-,+,+,+,+,0,-,-,+,-,0,0,-,-,0,+,+,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,alvr,tglz,cons,glte,void,,long,,,,,,
zː,748,(long) (voiced) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,,long,,,,,,
ðʲ,668,(voiced) (palatalized) (interdental) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,+,-,+,-,+,+,+,+,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,idnt,smpx,cons,plme,void,,,pltz,,,,,
ɬʟ̥͓,1501,(voiceless) (mid-centralized) (lateral-release) (alveolar) (pulmonic-egressive) (fricative) (complex) (consonant),+,-,0,-,-,+,-,+,+|-,+,-,-|+,-,-,-,+,-,-,0,+,-,-,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,frct,alvr,cmpx,cons,plme,voil,mctr,,latr,,,,,
ˀd̪,1129,(voiced) (dental) (pulmonic-egressive) (stop) (pre-glottalized) (consonant),+,-,0,0,-,+,+,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,stop,dntl,pglz,cons,plme,void,,,,,,,,
ɐ,259,(voiced) (open) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,+,-,+,-,+,-,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,,,,,cntr,,open,
zʷ,1828,(voiced) (labialized) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,,,lblz,,,,,
zʲ,304,(voiced) (palatalized) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,+,-,+,-,+,+,+,-,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,alvr,smpx,cons,plme,void,,,pltz,,,,,
kpr,2702,(voiceless) (labiovelar) (pulmonic-egressive) (stop) (complex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,lvlr,cmpx,cons,plme,voil,,,,,,,,
ndzʷ,2839,(voiced) (labialized) (alveolar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,+,0,-,-,0,+|-,+,-,+,0,-,+|-,-,-,+,-,-,0,0,-,stop,alvr,pnsz,cons,plme,void,,,lblz,,,,,
ç,1480,(voiceless) (palatal) (pulmonic-egressive) (fricative) (simplex) (consonant),-,-,0,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,palt,smpx,cons,plme,voil,,,,,,,,
ṳi̤,1740,(breathy) (rounded-unrounded) (close and close) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,+,-,+|-,-,-,-,-,-,+,-,+,-,-,+,+,-,0,+,-,+,0,-,,,,vowl,plme,brth,,,,,back|frnt,rdur,clos|clos,
ɕː,1868,(long) (voiceless) (alveolopalatal) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,0,-,+,-,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,avpl,smpx,cons,plme,voil,,long,,,,,,
ʃʼ,171,(voiceless) (postalveolar) (glottal-egressive) (fricative) (post-glottalized) (consonant),-,-,0,0,-,+,+,+,+,+,+,-,+,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,palv,tglz,cons,glte,voil,,,,,,,,
ʃʲ,95,(voiceless) (palatalized) (postalveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),-,-,0,+,-,+,-,+,+,+,+,+,-,-,+,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,palv,smpx,cons,plme,voil,,,pltz,,,,,
ʃʰ,2455,(voiceless) (postalveolar) (pulmonic-egressive) (fricative) (post-aspirated) (consonant),-,-,0,0,-,+,-,+,+,+,+,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,-,+,-,+,-,-,0,0,-,frct,palv,tasp,cons,plme,voil,,,,,,,,
ʃʷ,138,(voiceless) (labialized) (postalveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),-,-,0,0,-,+,-,+,+,+,+,-,-,-,0,0,-,+,0,-,-,0,-,-,-,+,0,-,-,-,-,+,-,-,0,0,-,frct,palv,smpx,cons,plme,voil,,,lblz,,,,,
m͈ː,990,(long) (voiced) (fortis) (bilabial) (pulmonic-egressive) (nasal) (simplex) (consonant),0,-,0,0,-,+,-,-,-,0,0,-,-,+,0,0,-,+,-,-,+,0,+,+,-,-,0,-,+,-,-,0,-,-,0,0,-,nasl,blab,smpx,cons,plme,void,frts,long,,,,,,
ᴅ,1428,(voiced) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,,,,,,,,alveolar flap (not official IPA)
ə̃˞,425,(voiced) (rhotacized) (nasal-vowel) (mid) (central) (pulmonic-egressive) (vowel),+,+,-,-,0,-,-,+,+,0,+,+,-,0,-,-,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,+,+,-,-,0,-,,,,vowl,plme,void,,,rhtz,,cntr,vnsl,vmid,
ɡǀxʼ,2656,(voiced) (dental) (glottal-egressive) (click) (post-glottalized) (consonant),+,-,0,-,+,+,+,-,+,-,+,+,+,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,dntl,tglz,cons,glte,void,,,,,,,,
ɵ̞ː,65,(long) (voiced) (lowered) (round) (closemid) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,long,,,cntr,roun,cmid,
ʐ,221,(voiced) (retroflex) (pulmonic-egressive) (fricative) (simplex) (consonant),-,-,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,rtfx,smpx,cons,plme,void,,,,,,,,
zɾ,2813,(voiced) (rhotacized) (alveolar) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-|+,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-|+,-,-,+|-,-,-|+,0,0,-,frct,alvr,smpx,cons,plme,void,,,rhtz,,,,,
ɬ̪ː,1446,(long) (voiceless) (lateral-release) (dental) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,+,-,-,-,0,0,-,-,0,+,+,0,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,frct,dntl,smpx,cons,plme,voil,,long,latr,,,,,
cçʰ,1520,(voiceless) (palatal) (pulmonic-egressive) (affricate) (post-aspirated) (consonant),-,-,0,-,-,+,-,-,+,+,+,+,-,-,+,+,-,-,0,-,-,-,-,-,-,0,0,-,-,+,-,-,-,-,0,0,-,affr,palt,tasp,cons,plme,voil,,,,,,,,
p͈ː,736,(long) (voiceless) (fortis) (bilabial) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,0,-,+,-,-,-,-,0,-,-,+,0,0,-,+,-,-,+,0,-,-,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,blab,smpx,cons,plme,voil,frts,long,,,,,,
cçʷ,1415,(voiceless) (labialized) (palatal) (pulmonic-egressive) (affricate) (complex) (consonant),-,-,0,-,-,+,-,-,+,+,+,+,-,-,+,+,-,+,0,-,-,-,-,-,-,+,0,-,-,-,-,-,-,-,0,0,-,affr,palt,cmpx,cons,plme,voil,,,lblz,,,,,
ɾ͓,650,(voiced) (mid-centralized) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,-,0,0,-,+,-,+,+,+,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,mctr,,,,,,,
e̥,961,(voiceless) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,-,-,-,0,-,-,-,-,-,-,0,-,-,+,+,-,0,+,-,+,0,-,,,,vowl,plme,voil,,,,,frnt,,cmid,
ŋǀ͓,1538,(voiceless) (mid-centralized) (dental) (velaric-ingressive) (click) (pre-nasalized) (consonant),+,-,0,-,+,+,-,-,+,+,+,+,-,-,-,+,-,-,0,-,-,-,+,+,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,dntl,pnsz,cons,veli,voil,mctr,,,,,,,
aɪ,2012,(voiced) (open and nearclose) (front and nearfront) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,-,0,-,-,+|-,-,+,-,0,-,-,+,-,-,0,+,-,-,0,-,,,,vowl,plme,void,,,,,frnt|nfrt,,open|ncls,
l̠̤,1734,(breathy) (retracted) (lateral-release) (alveolar) (pulmonic-egressive) (approximant) (complex) (consonant),-,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,+,+,-,-,-,-,0,0,-,appr,alvr,cmpx,cons,plme,brth,retr,,latr,,,,,
d̤ɮ̤,2520,(breathy) (lateral-release) (alveolar) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,-,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,-,+,-,-,-,-,0,0,-,affr,alvr,cmpx,cons,plme,brth,,,latr,,,,,
bvʷ,2739,(voiced) (labialized) (bilabio-labiodental) (pulmonic-egressive) (affricate) (complex) (consonant),0,-,0,0,-,+,-,-,-,+,0,-,-,-,0,0,-,+,+,-,-,0,-,+,-,+,0,-,-,-,-,0,-,-,0,0,-,affr,blbd,cmpx,cons,plme,void,,,lblz,,,,,
ɾ̰,1590,(creaky) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,+,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,crky,,,,,,,,
ɹˤ,1916,(voiced) (pharyngealized) (alveolar) (glottal-egressive) (approximant) (post-glottalized) (consonant),-,+,-,0,-,-,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,+,-,+,-,-,-,-,-,0,0,-,appr,alvr,tglz,cons,glte,void,,,phrz,,,,,
ˀʍ,2746,(voiceless) (labialized) (velar) (pulmonic-egressive) (approximant) (pre-glottalized) (consonant),0,-,0,+,-,-,+,+,-,+,0,+,-,-,-,+,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,0,-,-,+,0,-,appr,velr,pglz,cons,plme,voil,,,lblz,,,,,
ɾ̪,1422,(voiced) (dental) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,dntl,smpx,cons,plme,void,,,,,,,,
iˤː,1793,(long) (voiced) (pharyngealized) (close) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,+,+,-,-,0,-,+,-,-,+,-,0,+,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,phrz,,frnt,,clos,
ɾ̠,1546,(voiced) (retracted) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),-,+,0,0,-,+,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,retr,,,,,,,
d̪ɮ̪,1539,(voiced) (lateral-release) (dental) (pulmonic-egressive) (affricate) (complex) (consonant),+,-,0,0,-,+,-,-,+,+,+,-,-,-,0,0,-,-,0,+,-,0,-,+,-,0,0,-,-,-,-,-,-,-,0,0,-,affr,dntl,cmpx,cons,plme,void,,,latr,,,,,
ɾ̤,1347,(breathy) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,+,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,brth,,,,,,,,
ɾ̥,558,(voiceless) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,-,-,0,0,-,+,+,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,voil,,,,,,,,
ʟ̥͓,1801,(voiceless) (mid-centralized) (lateral-release) (velar) (pulmonic-egressive) (approximant) (simplex) (consonant),0,-,0,-,-,+,-,+,-,+,0,+,-,-,-,+,-,-,0,+,-,-,-,-,-,0,0,-,-,+,-,0,-,-,0,0,-,appr,velr,smpx,cons,plme,voil,mctr,,latr,,,,,
ɻ,479,(voiced) (retroflex) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,rtfx,smpx,cons,plme,void,,,,,,,,
ɾ̃,557,(voiced) (nasalized) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,+,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,nasz,,,,,,,
ɭː,297,(long) (voiced) (lateral-release) (retroflex) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,+,+,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,rtfx,smpx,cons,plme,void,,long,latr,,,,,
ɹ̩,1010,(syllabic) (voiced) (alveolar) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,0,-,-,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,+,-,0,0,-,appr,alvr,smpx,cons,plme,void,,syll,,,,,,
wə,2011,(voiced) (pulmonic-egressive) (vowel),0,+,-,+|-,-,-,-,+,-,0,0,+,-,-,-,+|-,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,-|+,-,+|-,0,-,,,,vowl,plme,void,,,,,,,,
ɹ̪,1430,(voiced) (dental) (pulmonic-egressive) (approximant) (simplex) (consonant),+,+,0,0,-,-,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,dntl,smpx,cons,plme,void,,,,,,,,
ʑ,1481,(voiced) (alveolopalatal) (pulmonic-egressive) (fricative) (simplex) (consonant),+,-,0,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,0,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,0,0,-,frct,avpl,smpx,cons,plme,void,,,,,,,,
ɑi,2246,(voiced) (open and close) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,-,0,-,-,+|-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,,,back|frnt,,open|clos,
ɾˠ,1146,(voiced) (velarized) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,+,-,+,-,+,+,0,-,+,-,-,-,+,-,-,0,-,-,-,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,,,vlrz,,,,,
ɾˤ,1044,(voiced) (pharyngealized) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,-,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,+,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,,,phrz,,,,,
e̞̠,204,(voiced) (lowered) (closemid) (front) (pulmonic-egressive) (vowel),-,+,-,-,0,-,-,+,-,0,+,+,-,0,+,-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,,,frnt,,cmid,
ɾː,843,(long) (voiced) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,,long,,,,,,
ḛ,375,(creaky) (closemid) (front) (pulmonic-egressive) (vowel),0,+,-,-,0,-,+,+,-,0,0,+,-,0,+,-,-,-,0,-,-,-,-,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,crky,,,,,frnt,,cmid,
ɹ̝,2135,(voiced) (raised) (alveolar) (pulmonic-egressive) (approximant) (simplex) (consonant),-,+,0,0,-,-,-,+,+,0,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,-,appr,alvr,smpx,cons,plme,void,razd,,,,,,,
ɾˀ,534,(voiced) (alveolar) (glottal-egressive) (flap) (post-glottalized) (consonant),+,+,0,0,-,+,+,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,tglz,cons,glte,void,,,,,,,,
ɯ̃ː,760,(long) (voiced) (nasal-vowel) (close) (back) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,+,-,+,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,long,,,back,vnsl,clos,
ɵ̞̆,1354,(brief) (voiced) (lowered) (round) (closemid) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,-,-,+,-,+,-,+,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,brev,,,cntr,roun,cmid,
ɾʰ,1928,(voiced) (alveolar) (pulmonic-egressive) (flap) (post-aspirated) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,+,-,-,-,+,0,0,-,flap,alvr,tasp,cons,plme,void,,,,,,,,
ɡʘx,2623,(voiced) (bilabial) (velaric-ingressive) (click) (complex) (consonant),0,-,0,-,+,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,-,-,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,clck,blab,cmpx,cons,veli,void,,,,,,,,
o̞e̞,1662,(voiced) (lowered) (rounded-unrounded) (closemid and closemid) (back and front) (pulmonic-egressive) (vowel),0,+,-,+|-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,+|-,-,-,-,-,-,+,-,+,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,lwrd,,,,back|frnt,rdur,cmid|cmid,
ɾʷ,1977,(voiced) (labialized) (alveolar) (pulmonic-egressive) (flap) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,+,0,-,-,0,-,+,-,+,0,-,+,-,-,-,-,+,0,0,-,flap,alvr,smpx,cons,plme,void,,,lblz,,,,,
ŋǀʰ,2668,(voiceless) (dental) (velaric-ingressive) (click) (post-aspirated) (consonant),+,-,0,-,+,+,-,-,+,-,+,+,-,-,-,+,-,-,0,-,-,-,+,+,-,0,0,-,-,+,-,-,-,-,0,0,-,clck,dntl,tasp,cons,veli,voil,,,,,,,,
