Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
4579,Badjiri,,,"EC Australia (S Queensland)",,"Australian: Pama-Nyungan: Karnic: Ngura",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,Bidjara,,,Australia,,"Australian: Pama-Nyungan: Karnic: Ngura",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4581,Malyangaba,,,"S Australia (E South)",,"Australian: Pama-Nyungan: Karnic: Yarli",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,,,,,,
4582,Yardliwarra,,,Australia,,"Australian: Pama-Nyungan: Karnic: Yarli",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4583,Wagaya,,,Australia,,"Australian: Pama-Nyungan: Wagaya-Warluwaric",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4584,Yindjilandji,,,Australia,,"Australian: Pama-Nyungan: Wagaya-Warluwaric",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4585,Warluwara,,,Australia,,"Australian: Pama-Nyungan: Wagaya-Warluwaric",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
4586,Kalkatungu,,,"EC Australia (W Queensland)",12,"Australian: Pama-Nyungan: Kalkatungic",,"GD: Blake, Barry J. 1969. The Kalkatungu Language. Canberra: AIAS.",,WPF,"§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
ɾ ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","ɾ ɹ",,,"j w",,i,a,u,"v all",,,,(C)V(C),,initial,,,,"3: close (in front), close (beside, behind, above, below), far",,"§1 4d 4
2 5d 5 
3hai 6d 6","SOV NA GN ND NUM-N POSS-N Num+N+A",,,POST,
4587,Yalarnnga,Jalanga,,"EC Australia (W Queensland)",1,"Australian: Pama-Nyungan: Kalkatungic",,,,"Blake, Barry J. 1971. ""Jalanga: An Outline Morphology,"" in POLAA, 12-27.","§p t t ṭ c k


m n n ñ ŋ
l l
r","p t t ṭ c k",,,"m n n ñ ŋ","l l",r,,,"j w",,i,a,u,"v all",,,,(C)V(C),,,,,,"3: near (in front), near (oblique, i.e. beside, above, below, behind), far",,"§1 4d(i) 4
2 5d 5
3 6d 6
4di=4d+4","SOV NA DN/ND POSS-N",,,POST,"The corpus is small and other phonemes may occur in the language. e.g. n↔| l↔|."
4588,Kaititj,,,"C Australia (SC Northern Territory)",,"Australia: Pama-Nyungan: Arandic",,,,LOA,"§b d d ḍ ɉ ɡ


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","b d d ḍ ɉ ɡ",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,"cN (prestopped nasals) = m n n ṇ ñ ŋ","j w ɯ",,,"ə a",,,,,,,,,,,,,,,,,,,
4589,Alyawarra,,,"C Australia (SC Northern Territory)",500,"Australia: Pama-Nyungan: Arandic",,"GD: Yallop, Colin. 1977. Alyawarra: An Aboriginal Language of Central Australia. Canberra: AIAS.",,,"§p th t ṭ c k

ɣ
m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p th t ṭ c k",,ɣ,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,"cN (nasally released consonants) p th t ṭ c k","j w",,i,a,u,"v i (u)",,,"aj (aw)","(C)(W)V(C), ",,"on 1st vowel following first C in word (= initial/second)","s d p",,,"3 + ref",,"§1 4die* 4ie*
2 5d* 5*
3 6d* 6*
*Every Alyawarra belongs to one of four sections: an individual's section is determined by, but is not the same as, his mother's section. . . Most dual and plural personal pronouns exist in three forms. Form I is used if th","SOV NA GN/NG ND N-NUM N-POSS N+A+Num",erg,,POST,
4590,Aranda,Arrarnta,Southern,"C Australia (S Northern Territory)",,"Australia: Pama-Nyungan: Arandic",,,,"§AL 8:2
LOA 
WALS 
WPF","§b d d ḍ ɉ ɡ

ɣ
m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","b d d ḍ ɉ ɡ",,ɣ,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,"cN (nasally released consonants) ?","j w",,i,a,u,v,,,,,,,,,,,,"§1 4di1i2e 4i1i2e
2 5di1i2e 5i1i2e
3 6d 6 
""The i#1 is used when the referents belong to the same marriage class, the i#2 is used when the referents are part of separate marriage classes on the same side of the moiety, and the e is used when there is at l",SOV,,,,
4591,"Lower Aranda",,,Australia,,"Australia: Pama-Nyungan: Arandic",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4592,Walmajarri,Wolmeri,,"NW Australia (N Western)","1,000","Australia: Pama-Nyungan: South-West: Ngumbin",,,,"§Hudson, Joyce and Eirlys Richards. 1969. ""The Phonology of Walmatjari,"" OL 8, 171-89. 
WPF","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
r ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","r ɹ",,,"j w",,i,a,u,"v all",,,,CV(C)(C),,initial,,,,,,"§1 4
2 5
3mf 6",,,,,
4593,Djaru,,,"NC Australia (W Northern)",200,"Australia: Pama-Nyungan: South-West: Ngumbin",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4594,Gurindji,,,"NC Australia (NC Northern Territory)",250,"Australia: Pama-Nyungan: South-West: Ngumbin",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4595,Mudburra,,,Australia,,"Australia: Pama-Nyungan: South-West: Ngumbin",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596,Ngarinman,,,"NC Australia (NW Northern)",,"Australia: Pama-Nyungan: South-West: Ngumbin",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4597,Garadyari,,,"NW Australia (N Western Australia)",35,"Australia: Pama-Nyungan: South-West: Marngu",,"Capell, A. 1962. Some Linguistic Types in Australia. OLM 7.",,,"§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
ɾ ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","ɾ ɹ",,,"j w",,i,a,u,,,,,CV(C)(C),,,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6","SOV DN POSS-N",,,POST,
4598,Mangarla,,,Australia,,"Australia: Pama-Nyungan: South-West: Marngu",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,Nyangumarta,,,"NW Australia (N Western Australia)",700,"Australia: Pama-Nyungan: South-West: Marngu",,"O'Grady, Geoffrey N. 1964. Nyangumata Grammar. OLM 9.",,"§O'Grady, G. N. 1960. ""New Concepts in Nyangumad↔|a: Some Data on Linguistic Acculturation,"" AL 2:1, 1-6.
O'Grady, Geoffrey N. and Kathleen A. Mooney. 1973. ""Nyangumarda Kinship Terminology,"" AL 15, 1-23.
AL 8:2","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
r ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","r ɹ",,,"j w",,I,ɐ,ʋ,"i a u",,,,CV(C),,initial,"s d p",,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,,
4600,Ngarla,,,"W Australia (NW Western Australia)",6,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,"AL 8:2","§p (t)* t ṭ c k (*Lamino-dentals merged with lamino-palatals in the 20th century.)


m (n)* n ṇ ñ ŋ
(l)* l ḷ ʎ
r ɹ","p (t)* t ṭ c k (*Lamino-dentals merged with lamino-palatals in the 20th century.)",,,"m (n)* n ṇ ñ ŋ","(l)* l ḷ ʎ","r ɹ",,,"j w",,i,a,u,,,,,,,,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,,
4601,Nyamal,,,"W Australia (NW Western Australia)",20,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,"AL 8:2","§p (t)* t ṭ c k (Lamino-dentals in some idiolects only.)


m (n)* n ṇ ñ ŋ
(l)* l ḷ ʎ
r ɹ","p (t)* t ṭ c k (Lamino-dentals in some idiolects only.)",,,"m (n)* n ṇ ñ ŋ","(l)* l ḷ ʎ","r ɹ",,,"j w",,i,a,u,,,,,,,,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,,
4602,Nyiyabali,Balyku,,"W Australia (NW Western Australia)",50,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,(v),,,,,,,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,,
4603,Tjurruru,,,Australia,,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4604,Kariyarra,,,"W Australia (NW Western Australia)",40,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,"§Brandenstein, C. G von. 1970. Narratives from the North-West of Western Australia, 3 vols. Canberra: AIAS.
AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ṛ ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ṛ ɹ",,,"j w",,i,a,u,"v all",,,,,,,"s d p",,,,,"§ 1 4die 4ie
2 5d 5
*3 *6d *6","SVO/SOV AN/NA GN DN NUM-N/N-NUM POSS-N",,,POST,
4605,Martuyhunira,,,Australia,,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,WALS,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
4606,Nhuwala,,,"W Australia (W Western)",extinct,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4607,Yindjibarndi,,,"W Australia (NW Western Australia)",200,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,"§AL 8:2
WALS","§p t t ṭ c k

ð
m n n ṇ ñ ŋ
l ḷ
r ṛ ɹ","p t t ṭ c k",,ð,"m n n ṇ ñ ŋ","l ḷ","r ṛ ɹ",,,"j w",,i,a,u,v,,,,,,,"s d p",,,,,"§1 4die 4ie
2 5d 5
3 6d 6",SVO,,,,
4608,Binigura,,,Australia,,"Australia: Pama-Nyungan: South-West: Ngayarda",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609,Wariyangga,,,"W Australia (W Western)",extinct,"Australia: Pama-Nyungan: South-West: Mantharda",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,,,,,,
4610,Djwarli,,,Australia,,"Australia: Pama-Nyungan: South-West: Mantharda",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4611,Thargari,,,"W Australia (W Western Australia)",12,"Australia: Pama-Nyungan: South-West: Mantharda",,,,"§Klokeid, Terry J. 1969. Thargari Phonology and Morphology. PL B12.
AL 8:2","§ph b th d ṭh ḍ ch ɉ kh ɡ
dð
ð
m n n ṇ ñ ŋ
l ḷ
ɾ ɹ","ph b th d ṭh ḍ ch ɉ kh ɡ",dð,ð,"m n n ṇ ñ ŋ","l ḷ","ɾ ɹ",,,"j w",,I,ɐ,ʋ,"i u ɑ",,,,CV(C),,,,,,,,"§ 1 4die 4ie
2 5d 5
*3 *6d *6","SVO NA GN DN/ND N-NUM POSS-N",erg,,POST,
4612,Dhalandji,,,"W Australia (W Western Australia)",60,"Australia: Pama-Nyungan: South-West: Kanyara",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,CV(C),,,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,,
4613,Bayungu,,,"W Australia (W Western Australia)",20,"Australia: Pama-Nyungan: South-West: Kanyara",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,"§1 4d 4
2 5d 5
3 ? ?",,erg,,,
4614,Yinggarda,Yingkarta,,"W Australia (W Western Australia)",10,"Australia: Pama-Nyungan: South-West: Kardu",,,,"§AL 8:2
WALS","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,"§1 4d 4
2 5d 5
3 6d 6",SVO,erg,,,
4615,Maya,,,Australia,,"Australia: Pama-Nyungan: South-West: Kardu",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4616,Malgana,,,Australia,,"Australia: Pama-Nyungan: South-West: Kardu",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4617,Nhanda,,,"W Australia (W Western Australia)",2,"Australia: Pama-Nyungan: South-West: Kardu",,,,"AL 8:2","§p t t ṭ c k ʔ


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k ʔ",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,(C)V(C),,,,,,3,,"§ 1 4d 4
2 5d 5
*3 *6d *6","SOV N-POSS",erg,,,
4618,Wadjari,,Badimaya,"W Australia (WC Western)",100,"Australia: Pama-Nyungan: South-West: Wadjari",,,,"§AL 8:2
WALS","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,,SOV,,,,
4619,Wirdimay,,,Australia,,"Australia: Pama-Nyungan: South-West: Wadjari",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4620,Karlamay,,,Australia,,"Australia: Pama-Nyungan: South-West: Wadjari",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4621,Karlamay,,,"SW Australia (SW Western Australia)","2 (1969)","Australia: Pama-Nyungan: South-West: Wadjari",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,,,,,,
4622,Wirangu,,,"S Australia (S South)",,"Australia: Pama-Nyungan: South-West: Wati",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4623,Warnman,Wanman,,"WC Australia (NC Western Australia)",100,"Australia: Pama-Nyungan: South-West: Wati",,,,"AL 8:2","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
r ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,CV(C),,initial,,,,,,"§ 1 4d 4
2 5d 5
*3 *6d *6",,erg,,,
4624,"Western Desert Language",,Pitjantjatjara,"W Australia (E Western)","4,000 (2,000)","Australia: Pama-Nyungan: South-West: Wati",,"Glass, Amee and Dorothy Hackett. 1970. Pitjantjatjara Grammar. Canberra: AIAS.",,"§Glass, Amee and Dorothy Hackett. 1969. Pitjantjatjara Texts. Canberra: AIAS.
Glass, Amee and Dorothy Hackett. 1979. Ngaanyatjarra Texts. Canberra: AIAS.","§p t t ṭ k


m n n ṇ ŋ
l l ḷ
r ɹ","p t t ṭ k",,,"m n n ṇ ŋ","l l ḷ","r ɹ",,,"j w",,i,a,u,"v all",,,,CV(C),,initial,,,,"3 + ref",,"§ 1 4die 4ie
2 5d 5
*3 *6d *6","SOV NA GN ND N-NUM POSS-N/N-POSS N+D+A+Num",erg,,POST,
4625,"Western Desert Language",Ngaanyatjarra,"Warburton Ranges","W Australia (E Western)","4,000","Australia: Pama-Nyungan: South-West: Wati","Douglas, W. H. 1977. Illustrated Topical Dictionary of the Western Desert Language. Canberra: AIAS.","Douglas, W. H. 1964. An Introduction to the Western Desert Language. OLM 4.",,,"§p t t ṭ k


m n n ṇ ŋ
l l ḷ
r ɹ","p t t ṭ k",,,"m n n ṇ ŋ","l l ḷ","r ɹ",,,"j w",,I,a,ʋ,"v all",,,,,,initial,,,,"3 + ref",,"§ 1 4d 4
2 5d 5
*3 *6d *6","SOV NA GN ND N-NUM POSS-N N+A+Num+D",,,POST,
4626,"Western Desert Language",,Pintupi,"W Australia (E Western)","4,000 (800)","Australia: Pama-Nyungan: South-West: Wati",,,,"§Hansen, K. C. and L. E. Hansen. 1969. ""Pintupi Phonology,"" OL 8, 153-70.
LOA","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
ɾ ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","ɾ ɹ",,,"j w",,i,a,u,"v all",,,,CV(C),,initial,,,,,,,,,,,
4627,"Western Desert Language",,Gugada,"W Australia (E Western)","4,000 (almost extinct)","Australia: Pama-Nyungan: South-West: Wati",,"Platt, John T. 1972. An Outline Grammar of the Gugada Dialect. Canberra: AIAS.",,,"§p t t ṭ k


m n n ṇ ŋ
l l ḷ
ɾ ɹ","p t t ṭ k",,,"m n n ṇ ŋ","l l ḷ","ɾ ɹ",,,"j w",,I,a,ʋ,"v all",,,,(C)V(C),,initial,,,,"3 + ref",,"§1 4die 4
2 5d 5
3 6d 6","SOV NA GN ND N-NUM POSS-N/N-POSS",,,POST,
4628,"Western Desert Language",,Yulbaridja,"W Australia (E Western)","4,000","Australia: Pama-Nyungan: South-West: Wati",,,,"AL 8:2","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
r ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","r ɹ",,,"j w",,i,a,u,"v all",,,,,,,,,,,,"§ 1 4d 4
2 5d 5
*3 *6d *6",SOV,,,,
4629,"Western Desert Language",,Mantjiltjara,"W Australia (E Western)","4,000","Australia: Pama-Nyungan: South-West: Wati",,,,"Marsh, James. 1969. ""Mantjiltjara Phonology,"" OL 8, 131-52.","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
r ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","r ɹ",,,"j w",,i,a,u,"v all",,,,CV(C),,initial,,,,,,,,,,,
4630,Warlmanpa,Walmanba,,"C Australia (W Northern Territory)",,"Australia: Pama-Nyungan: South-West: Ngarga",,,,WPF,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,,
4631,Warlpiri,,,"C Australia (W Northern Territory)","3,000","Australia: Pama-Nyungan: South-West: Ngarga","Reece, Laurie. 1975. Dictionary of the Wailbri (Walpiri) Language of Central Australia. OLM 19.","§Capell, A. 1962. Some Linguistic Types in Australia. OLM 7.
Reece, Laurie. 1970. Grammar of the Wailbri Language of Central Australia. OLM 13.","Hale, Kenneth. 1973. ""Person Marking in Walbiri,"" in A Festschrift for Morris Halle, ed. by Stephen R. Anderson and Paul Kiparsky, New York, Holt, Rinehart Winston, 308-44.","AL 8:2","§p t ṭ c k


m n ṇ ñ ŋ
l ḷ ʎ
r ɾ ɹ","p t ṭ c k",,,"m n ṇ ñ ŋ","l ḷ ʎ","r ɾ ɹ",,,"j w",,i,a,u,"v all",,"vowel harmony","ai au",(C)V(C),,initial,"s d p",,,"4 [3 + that very far] + ref",,"§ 1 4die 4ie
2 5d 5
*3 *6d *6","SOV NA ND N-NUM N-POSS",,,POST,
4632,Ngardi,,,"C Australia (W Northern Territory)",,"Australia: Pama-Nyungan: South-West: Ngarga",,,,"§Jagst, Lothar. 1975. ""Ngardilpa (Warlpiri) Phonology,"" in PL A39, 21-57. 
WPF","§p mb t nd ṭ ṇḍ c ñɉ k ŋɡ


m n n ṇ ñ ŋ
l ḷ ʎ
ɾ ɾ ɹ","p mb t nd ṭ ṇḍ c ñɉ k ŋɡ",,,"m n n ṇ ñ ŋ","l ḷ ʎ","ɾ ɾ ɹ",,,"j w",,I,ɐ,ʋ,"v all",,,,CV(C),,initial,,,,,,"§1 4die 4ie
2 5d 5
3 6d 6",,,,POST,
4633,Nyungar,,,"SW Australia (SW Western)",,"Australia: Pama-Nyungan: South-West: Nyungar",,"GD: Douglas, Wilfred H. 1976. The Aboriginal Languages of the South-West of Australia. Canberra: AIAS.",,,"§p t t ṭ k


m n n ṇ ŋ
l l ḷ
ɾ ɹ","p t t ṭ k",,,"m n n ṇ ŋ","l l ḷ","ɾ ɹ",,"cʷ p t k","j w",,"i e",a,"u o",,,,,(C)V(N)(C),,initial,,,,3,,"§1 4die 4ie
2 5d 5
3 6d 6","SOV NA GN ND N-NUM POSS-N N+A+D",,,POST,
4634,Nyungar,,Wadjuk,"SW Australia (SW Western)",,"Australia: Pama-Nyungan: South-West: Nyungar",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,"§1 4d* 4
2 5d* 5
3 6d* g
*4d has four forms: (1) siblings, (2) parent & child, uncle & nephew, (3) husband & wife, (4) brothers-in-law; 5d has two forms: (1) siblings, or parent & child, (2) husband & wife; 6d has three forms: (1) siblings, (2) parent & c",,erg,,,
4635,Ngadjunmaya,Mirning,,"SW Australia (S Western Australia)",,"Australian: Pama-Nyungan: South-West: Ngadjunmaya",,,,"AL 8:2","§p t t ṭ c k


m n n ṇ ñ ŋ
l l ḷ ʎ
r ɹ","p t t ṭ c k",,,"m n n ṇ ñ ŋ","l l ḷ ʎ","r ɹ",,,"j w",,i,a,u,v,,,,,,,,,,,,"§1 4d 4
2 5d 5
3 6d 6",,,,,
4636,Adynyamathanha,,,"S Australia (E South Australia)",,"Australian: Pama-Nyungan: South-West: Yura",,,,"§Schebeck, B. 1973. ""The Adnjamathanha Personal Pronoun and the 'Wailpi Kinship System',"" in PL A36, 1-45.
Schebeck, B. 1974. Texts on the Social System of the Atynyamatana People with Grammatical Notes. PL D21.","§p t (d) t ṭ c k (ʔ)

v
m n n ṇ ñ ŋ
l l ḷ ʎ
ɾ r ɾ ɹ","p t (d) t ṭ c k (ʔ)",,v,"m n n ṇ ñ ŋ","l l ḷ ʎ","ɾ r ɾ ɹ",,,"j w",,i,a,u,v,,,,,,initial,"s d p",,,3,,"§1 4d 4
2 5d 5
3 6d 6","SOV AN/(NA) POSS-N",,,POST,
4637,Banggarla,,,Australia,,"Australian: Pama-Nyungan: South-West: Yura",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4638,Kaurna,,,Australia,,"Australian: Pama-Nyungan: South-West: Yura",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4639,Haida,,,"SW Canada (Queen Charlotte Island)",200,"Dene-Caucasian: Na-Dene","Lawrence, Erma. 1977. Haida Dictionary. Fairbanks: Alaska Native Language Center.",,,"§Sapir, E. 1923. ""The Phonetics of Haida,"" IJAL 2, 143-58.
Krauss, Michael E. 1964. ""Proto-Athapaskan-Eyak and the Problem of Na-Dene: The Phonology,"" IJAL 30, 118-31.","§p ph pʔ t th tʔ               k kh kʔ (q) qh qʔ ʔ
             tsʔ tl tlh tlʔ č čh
 m         n                      ŋ
             l ʔl ɬ
","p ph pʔ t th tʔ k kh kʔ (q) qh qʔ ʔ","tsʔ tl tlh tlʔ č čh",,"m n ŋ","l ʔl ɬ",,,,"j ʔj w ʔw","§ I   ʋ
     ə",I,ə,ʋ,"i (ē) a u",,,,(C)(C)V(C)(C),"hi lo","initial (generally)","s p (pl for kinship terms only)",,,"3 + ref",indef,"§1 4
2 5
3","SOV NA GN DN N-NUM N-POSS/POSS-N (more emphasis) D+N+A+Num",,,/POST,
4640,Tlingit,,,"SE Alaska (Prince of Wales Island)","1,500",Na-Dene,,,,"§Velten, H. V. 1939. ""Two Southern Tlingit Tales,"" IJAL 10, 65-74.
Velten, H. V. 1944. ""Three Tlingit Stories,"" IJAL 10, 168-80.
Krauss, Michael E. 1964. ""Proto-Athapaskan-Eyak and the Problem of Na-Dene: The Phonology,"" IJAL 30,118-31. 
WPF","§t tʔ                         k kʔ kʷ kʔʷ q qʔ qʷ qʔʷ ʔ
 d                    ɡ     ɡʷ        G      Gʷ
 ts tsʔ tl tlʔ č čʔ
 dz    dl      ǧ
 s sʔ         š       x xʔ xʷ xʔʷ χ χʔ χʷ χʔʷ h hʷ
 n
         ɬ ɬʔ
","t tʔ d k kʔ ɡ kʷ kʔʷ ɡʷ q qʔ G qʷ qʔʷ Gʷ ʔ","ts tsʔ dz tl tlʔ dl č čʔ ǧ","s sʔ š x xʔ xʷ xʔʷ χ χʔ χʷ χʔʷ h hʷ",n,"ɬ ɬʔ",,,,"j w","§ i     u
   I       ʋ
  e
  ɛ
     a  ɑ","i I e ɛ",a,"u ʋ ɑ",,,,,,,"pitch accent (hi lo); one hi per word",,,,,def,"§1 4
2 5
3 6","SOV AN GN DN NUM-N POSS-N D+A+N",,"NOUN INCORP",/POST,
4641,Eyak,,,"SE Alaska",1,"Dene-Caucasian: Na-Dene: Athabaskan-Eyak",,,,"§Krauss, Michael E. 1965. ""Eyak: A Preliminary Report,"" Canadian Journal of Linguistics 10, 167-87.
Krauss, Michael E. 1964. ""Proto-Athapaskan-Eyak and the Problem of Na-Dene: The Phonology,"" IJAL 30, 118-31.","§    th tʔ                       kh kʔ   qh qʔ ʔ
 (b)d                           ɡ ɡʷ   G
         tsh tsʔ tlh tlʔ čh čʔ
        dz      dl      ǧ
        s                 š       x xʷ   χ      h
 m    n                        (ŋ)
         l        ɬ
","(b) th tʔ d kh kʔ ɡ ɡʷ qh qʔ G ʔ","tsh tsʔ dz tlh tlʔ dl čh čʔ ǧ","s š x xʷ χ h","m n (ŋ)","l ɬ",,,,"j w","§ i    u
     ə",i,ə,u,"i  a u","ĩ ã ũ","§vʔ 
vh 
(v̰ vʰ)",,,,,,,,,,,SOV,,,,
